ema1_period,ema2_period,ema3_period,total_return,annualized_return,max_drawdown,volatility,sharpe_ratio,sortino_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,trades_per_year
13,92,127,-0.29558815780638603,-0.09740240492133379,-0.7061016617385247,0.5561515172117953,0.09311611006211905,0.1366842383433347,,,,0.4791201385479129,11,27.27272727272727,0.9615454776317482,-0.0038935448198784747,0.35697599842090516,0.1392196235351723,2.564121273684662,2.223436635307139
13,92,130,-0.24249329723144328,-0.07801382015177027,-0.6826666308444722,0.5595621093901664,0.13372028025427227,0.1973328190972121,,,,0.4482175082549482,11,36.36363636363637,1.0265222726105088,0.002540152559892443,0.2703647928795442,0.1505024990513371,1.7964139770683905,2.223436635307139
13,92,133,-0.3225478009368885,-0.10764548022102582,-0.7162029220536131,0.5559770561182565,0.07244207349039143,0.10630366256884044,,,,0.49390042208118495,11,27.27272727272727,0.9313764304818604,-0.0071732447245564735,0.35697599842090505,0.14372921090410457,2.483670481284961,2.223436635307139
13,92,136,-0.33372987365143386,-0.11197871191023512,-0.7162029220536137,0.5558363376933652,0.06356387042161754,0.09326069041369164,,,,0.4848416005901005,11,27.27272727272727,0.9050209306400617,-0.009601584780407658,0.3354633386547712,0.13900093106859973,2.413389148373498,2.223436635307139
13,92,139,-0.3608266991891965,-0.12269687133777962,-0.7277447871397529,0.5560542313797766,0.04191989561437566,0.061477423828038134,,,,0.4993545145562784,12,25.0,0.8730740435016107,-0.012192266350666447,0.3354633386547712,0.12807746801914566,2.619222130504832,2.4255672385168787
13,92,142,-0.3464718809170333,-0.11697962949471807,-0.7216303669984541,0.5561341662508179,0.05367372199612635,0.07872828880052248,,,,0.4916890861094361,13,30.76923076923077,0.890678783305897,-0.009579181175328761,0.2536462225726268,0.12656824950775344,2.0040272624382682,2.6276978417266186
13,92,145,-0.3464718809170333,-0.11697962949471807,-0.7216303669984541,0.5561341662508179,0.05367372199612635,0.07872828880052248,,,,0.4916890861094361,13,30.76923076923077,0.890678783305897,-0.009579181175328761,0.2536462225726268,0.12656824950775344,2.0040272624382682,2.6276978417266186
13,92,148,-0.37697564762730407,-0.12923832634435262,-0.7207942377320284,0.5543200502193084,0.026887446052233907,0.039337612514218585,,,,0.4996725174577681,12,33.33333333333333,0.8566797263330647,-0.014144782823057742,0.2536462225726268,0.14804028552090004,1.7133594526661293,2.4255672385168787
13,92,151,-0.4485728224277747,-0.1597789175735127,-0.7528802126867286,0.5588420969128394,-0.032665576082402864,-0.04766166485167089,,,,0.5352665455217879,12,25.0,0.7789498455822459,-0.02379942150052809,0.3354633386547711,0.14355367488562779,2.336849536746738,2.4255672385168787
13,92,154,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,157,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,160,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,163,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,166,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,169,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,172,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,175,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,178,-0.47521758344448717,-0.1718616189830341,-0.7332208390394677,0.529918464782269,-0.08752090353508012,-0.12303454507813232,,,,0.5107612972816846,10,20.0,0.715742505778448,-0.03462980181303017,0.43597832296641037,0.15228183300789033,2.862970023113792,2.021306032097399
13,92,181,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,184,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,187,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,190,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,193,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,196,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,92,199,-0.46686592406929156,-0.1680285667958552,-0.7289751771985719,0.5299894687887292,-0.07872695359229266,-0.11068707450191091,,,,0.5048339244005445,10,20.0,0.7242976874940432,-0.033190836839527185,0.4359783229664102,0.15048312679101153,2.897190749976173,2.021306032097399
13,95,100,-0.5458072734281403,-0.20612205444995169,-0.7481416597504916,0.5140669040407642,-0.1879486857341832,-0.26052098006693264,,,,0.5302041574683615,12,16.666666666666664,0.6197684046708137,-0.042057603348447124,0.4113173242583109,0.13273258886979875,3.0988420233540688,2.4255672385168787
13,95,103,-0.6496270370094738,-0.26414915192332733,-0.7834125436280256,0.5083004821793988,-0.3448471809521925,-0.47257317261150855,,,,0.5309225391346273,13,15.384615384615385,0.5312983181642625,-0.055824098195516786,0.4113173242583109,0.14075890227803092,2.9221407499034444,2.6276978417266186
13,95,106,-0.5823363367555421,-0.2253527904838798,-0.7727706484070941,0.4850603257720395,-0.2794616144112518,-0.38387765078860164,,,,0.5316672411483474,12,16.666666666666664,0.5930768006795263,-0.04703566253458711,0.41131732425831113,0.13870625989316676,2.9653840033976313,2.4255672385168787
13,95,109,-0.5657602721360463,-0.21648465633826386,-0.7429919216049763,0.49314073036214934,-0.24425480043596276,-0.33859296725348004,,,,0.4944383804896767,13,23.076923076923077,0.6368031059783962,-0.039737394203776234,0.30191488794534,0.1422330788485111,2.122677019927987,2.6276978417266186
13,95,112,-0.4269671411609829,-0.1502811317218482,-0.7252384094716753,0.4991715269967465,-0.07316263455487113,-0.10270198340542315,,,,0.4961638731261451,12,25.0,0.7619884362042602,-0.023576222157334414,0.30191488794534,0.1320732588582259,2.2859653086127802,2.4255672385168787
13,95,115,-0.24074272236118413,-0.0773911727683334,-0.7208657111092922,0.5254111648615062,0.10848187827817078,0.16031333008466672,,,,0.49001706099685144,12,33.33333333333333,1.010301781950414,0.0009387082559625162,0.2761790032914788,0.13668143926179563,2.020603563900828,2.4255672385168787
13,95,118,-0.11353053295594567,-0.034631033421109625,-0.6897354918401688,0.5270665923432021,0.1956421786162311,0.29070766651021246,,,,0.46204820832899657,12,33.33333333333333,1.1356867694577608,0.010998876848932908,0.27617900329147876,0.12159118637234004,2.2713735389155216,2.4255672385168787
13,95,121,-0.1627625032174944,-0.050629551869265654,-0.6837255255804147,0.5293227836021208,0.16555549767975378,0.24511908850462125,,,,0.4508401902797949,12,33.33333333333333,1.0939568180983756,0.007906741212435037,0.2761790032914788,0.12622938982708687,2.1879136361967513,2.4255672385168787
13,95,124,-0.18005633250567626,-0.05640726590562706,-0.6925832906292972,0.529520304096218,0.15416423638790486,0.22815270394316176,,,,0.4607212066875075,12,33.33333333333333,1.073541195819915,0.006306398003632414,0.2761790032914788,0.12862990464029078,2.14708239163983,2.4255672385168787
13,95,127,-0.08916585800313988,-0.02694520812183565,-0.6585062537639507,0.5328892774184182,0.21402769775394154,0.31876184224824083,,,,0.43300599506187076,12,41.66666666666667,1.1880997303382423,0.014713810790594856,0.2230494378842752,0.13409735141917686,1.6633396224735395,2.4255672385168787
13,95,130,-0.1887163984262335,-0.05933296401533528,-0.6945958517483963,0.5291187890726674,0.1480075657911228,0.21907152143492634,,,,0.46444451293498684,12,33.33333333333333,1.0634767329083856,0.005494851708036865,0.2761790032914788,0.1298472240836841,2.1269534658167712,2.4255672385168787
13,95,133,-0.1887163984262335,-0.05933296401533528,-0.6945958517483963,0.5291187890726674,0.1480075657911228,0.21907152143492634,,,,0.46444451293498684,12,33.33333333333333,1.0634767329083856,0.005494851708036865,0.2761790032914788,0.1298472240836841,2.1269534658167712,2.4255672385168787
13,95,136,-0.2021075014995756,-0.06390079901698098,-0.6945958517483961,0.5289719007753628,0.13870030159244026,0.20526019845925597,,,,0.45643791645761683,12,33.33333333333333,1.0380435390343603,0.003176813892839775,0.2600445084668782,0.12525703339417946,2.0760870780687206,2.4255672385168787
13,95,139,-0.23455733374441012,-0.07519924491090324,-0.7070164640442465,0.5292032249540114,0.11592368615554917,0.17146742677906834,,,,0.47021950760628123,13,30.76923076923077,0.99753727481703,-0.00019753822380280244,0.2600445084668782,0.11586067008632768,2.244458868338318,2.6276978417266186
13,95,142,-0.21736670585378773,-0.06917246875936589,-0.700436518652213,0.5292859262607091,0.12826194782507125,0.18975259639676595,,,,0.46204798155981186,14,35.714285714285715,1.018665500820997,0.0013721317156633883,0.2096745816387413,0.11435145157493547,1.8335979014777946,2.8298284449363584
13,95,145,-0.21736670585378773,-0.06917246875936589,-0.700436518652213,0.5292859262607091,0.12826194782507125,0.18975259639676595,,,,0.46204798155981186,14,35.714285714285715,1.018665500820997,0.0013721317156633883,0.2096745816387413,0.11435145157493547,1.8335979014777946,2.8298284449363584
13,95,148,-0.2538965241236215,-0.0820948575353384,-0.6920943538837083,0.5273824195539325,0.10038579541089708,0.14809615606450396,,,,0.4705361572208885,13,38.46153846153847,0.9777234413574191,-0.001837403375480128,0.2096745816387413,0.13403239400936853,1.5643575061718704,2.6276978417266186
