rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,4,80,0.1,3,0.45796057023347203,0.09999949666923329,0.08164117889879946,0.03967101142738172,0.0038918208336613525,0.001579728710895218,2.4636007479131607,-0.0017133196182592954,0.015908482090101206,0.001963159015287097,0.0016975407835258885,1.1564723712908413,-0.00258012068245509
400,6,40,0.15,2,0.42538173029729465,0.15000025189145616,0.12826968374147427,0.06629282119396529,0.006429204714512915,0.0030400114210713323,2.1148620264877804,-0.0027941142316303424,0.02498057676075871,0.0030706629696128918,0.002655871271862703,1.1561791424699863,-0.0039692723615252935
200,4,40,0.1,3,0.45922403795007094,0.09999974454829254,0.08107101174596136,0.03768257018322463,0.003699958788369484,0.0015714827238460121,2.3544380935440934,-0.0019833892514191914,0.015515027141054016,0.0019149311065309593,0.0016563331648614065,1.1561267667372892,-0.0026784098315999305
200,8,40,0.2,4,0.3875072874940544,0.19999884356653816,0.17652781049850086,0.07875046282891507,0.0075970381978969215,0.0030891938264125986,2.4592300207718485,-0.003244180831157579,0.03120917840133819,0.0038260791638486946,0.0033139282891735443,1.1545449478639367,-0.005029966021299808
400,6,20,0.1,4,0.4621308826373661,0.10000152359121584,0.08084917802356906,0.03718922610972775,0.003652305438160308,0.001687393711778916,2.164465478723342,-0.0022579177268854237,0.01580561378969647,0.0019505514688085146,0.0016920278732024628,1.1527892061947833,-0.002444360915704704
200,6,20,0.2,3,0.38791427486540675,0.1999985535085858,0.1787507017132914,0.07898962946282229,0.007619339711320228,0.0030544495719216492,2.494504994078741,-0.003512604486997806,0.031222674094300684,0.0038277116029736824,0.003320589944229857,1.1527203500766614,-0.004854673386148504
200,4,40,0.15,2,0.4255444343552063,0.1499997491915425,0.1283822916203238,0.0641747445995069,0.006229426472952548,0.002759103945535463,2.2577715794406563,-0.0027831587223787887,0.024171747470693505,0.0029722719495366423,0.0025785793600022425,1.152678096955704,-0.004173751783839291
400,4,40,0.2,3,0.3873930568226115,0.20000051349021614,0.1792867284495662,0.07770414401136927,0.0074994200015992,0.0029356383672994985,2.5546130222088412,-0.003227263399340329,0.030695639409629383,0.003763947577933857,0.0032654759825840223,1.1526489853266004,-0.005016527457982169
200,6,80,0.15,4,0.42335364803352604,0.1500002925863899,0.1258268668454118,0.0606677584957207,0.005897857159022024,0.002354143545175428,2.5053090628687733,-0.0024057008279896987,0.02369910860584601,0.0029147457172749025,0.0025294187222285307,1.152338160408207,-0.0039090292316424895
400,6,40,0.15,3,0.42572896751246847,0.15000035533500847,0.12901866605946158,0.05686955449981479,0.005537639519533677,0.0022923456615910214,2.4157087704173867,-0.0026978330706074753,0.023125260003521664,0.002844869685520779,0.002468896723590493,1.1522837947565145,-0.004016182654052488
