asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,train_annualized_turnover,train_annual_costs,test_trades,test_annualized_turnover,test_annual_costs,subtrain_sharpe,val_sharpe,selection_score,view_q
exrususd,474,284,190,7,155,121,0.8535432083806038,0.18757051310056738,0.16478851103025738,-0.1351401066895573,4,7.098591549295775,0.007098591549295775,3,7.957894736842105,0.007957894736842105,1.0392484198085887,-0.45225434609205745,-1.1980057290423805,0.16478851103025738
tscogbgbx,1795,1077,718,28,116,112,0.8377418502902996,0.5818426302070994,0.11327095310435187,-0.18917660472676492,8,3.743732590529248,0.0037437325905292497,2,1.7548746518105849,0.001754874651810585,0.5733591617884889,0.5395523705960327,0.5226489749998046,0.11327095310435187
mchpususd,916,549,367,4,149,145,0.8233571418416319,1.1689253428641728,0.42672997316746963,-0.29628933182900813,7,6.426229508196722,0.006426229508196725,5,6.866485013623978,0.00686648501362398,0.9407491182197281,1.6731612328481817,1.3069551755339548,0.42672997316746963
marususd,1341,804,537,37,185,151,0.8149321407605515,1.5084117320449848,0.33408870061465645,-0.3583133097033617,5,3.134328358208955,0.0031343283582089556,1,1.4078212290502794,0.0014078212290502795,0.9904860487528696,0.04281883138710337,-0.43101477729577975,0.33408870061465645
masiususd,539,323,216,31,134,112,0.8062415168950368,0.3707720428515402,0.27896402395389885,-0.34002233949526756,4,7.021671826625386,0.007021671826625387,2,4.666666666666667,0.004666666666666667,0.2734888818353538,3.736980588409612,2.005234735122483,0.27896402395389885
mdlzususd,769,461,308,10,86,100,0.8040520180814156,0.2879818464043662,0.14836728932409526,-0.17581678411347945,3,3.82646420824295,0.00382646420824295,4,6.545454545454545,0.006545454545454545,0.766376252256051,1.0874136404639536,0.9268949463600022,0.14836728932409526
hcnususd,879,527,352,7,164,121,0.7964852902507896,0.7570287226530563,0.3093264955215269,-0.3554753055744793,7,6.69449715370019,0.006694497153700192,0,0.7159090909090909,0.0007159090909090909,0.773617454246995,0.7036308485759256,0.6686375457403909,0.3093264955215269
ftvususd,552,331,221,37,194,193,0.775374640854111,0.29534412948293176,0.2177611555356096,-0.18154780737834625,2,3.806646525679758,0.0038066465256797583,2,5.701357466063349,0.005701357466063348,0.8267920957977686,0.6955657013027781,0.6299525040552828,0.2177611555356096
hpqususd,815,489,326,4,116,100,0.7700254761002897,1.0205361547913858,0.43687299940306734,-0.167777935212205,7,7.730061349693251,0.007730061349693255,4,6.184049079754601,0.006184049079754601,1.0032506676184416,1.5071478938117349,1.2551992807150882,0.43687299940306734
lowususd,483,289,194,4,173,172,0.7685286348837421,0.28931246950400635,0.2480422294443192,-0.1804688264959257,2,4.359861591695502,0.004359861591695502,6,16.88659793814433,0.016886597938144336,0.8460857590767338,1.5288712757501595,1.1874785174134466,0.2480422294443192
whrususd,608,364,244,10,134,109,0.7582439761030126,0.4330404776654606,0.28285902025740484,-0.33857326834265217,3,4.846153846153846,0.004846153846153846,3,6.19672131147541,0.00619672131147541,1.671052618355415,-0.597915675923943,-1.7323998230636222,0.28285902025740484
acafreur,745,447,298,10,158,100,0.7568062110882059,0.6192448452788728,0.31220500808132856,-0.38816028713054196,5,5.6375838926174495,0.005637583892617451,3,5.919463087248322,0.005919463087248322,0.9174808456699315,1.6197777903378672,1.2686293180038994,0.31220500808132856
mktxususd,714,428,286,7,182,181,0.7478449869432959,0.5536842673668771,0.2961985650981218,-0.265258437892519,3,3.532710280373832,0.003532710280373832,3,5.286713286713287,0.005286713286713287,0.9040819220297039,-0.7955557813939225,-1.6453746331057357,0.2961985650981218
sgegbgbx,658,394,264,13,128,109,0.7324080575815771,0.36915637021463543,0.2225722684284681,-0.21852482167647072,3,3.8375634517766497,0.00383756345177665,3,5.727272727272727,0.005727272727272727,0.8769887492035285,4.459028846326525,2.668008797765027,0.2225722684284681
mhkususd,966,579,387,4,197,109,0.7256802233286939,0.5191015860686394,0.19958935813576395,-0.18914614630530213,7,6.528497409326425,0.006528497409326428,7,9.116279069767442,0.009116279069767445,0.09849273642768512,1.77460002017696,0.9365463783023226,0.19958935813576395
middususd,934,560,374,13,122,121,0.7169013541153683,0.4205374268494608,0.1711262250460428,-0.20502537457272677,7,6.75,0.0067500000000000025,5,6.737967914438502,0.006737967914438503,0.820737356181083,-0.5340700791185257,-1.21147379676833,0.1711262250460428
adiususd,462,277,185,31,101,100,0.7168495333957873,0.15256357136651588,0.13788786443292045,-0.09870858889010148,2,3.63898916967509,0.00363898916967509,1,2.7243243243243245,0.0027243243243243245,0.8736228252338633,2.0434691723052896,1.4585459987695764,0.13788786443292045
maerskbdkdkk,656,393,263,10,89,118,0.7011740358134094,0.6817265581447072,0.39559426687655463,-0.3373072854783266,4,5.129770992366412,0.005129770992366413,9,17.24714828897338,0.01724714828897339,1.1998616341316548,-0.5055657975068713,-1.3582795133261343,0.39559426687655463
adskususd,774,464,310,31,113,100,0.699690037908553,0.6193623585604042,0.29925821066673164,-0.3662676493796485,5,5.974137931034483,0.005974137931034485,5,8.129032258064516,0.008129032258064517,0.9157623530148459,1.6674122244922143,1.29158728875353,0.29925821066673164
irususd,622,373,249,4,98,133,0.6853240141851007,0.43415179882035493,0.2758398654949097,-0.2644017674836827,6,8.107238605898123,0.008107238605898126,8,16.19277108433735,0.016192771084337355,1.0840473445220193,-1.375515671947089,-2.605297180181643,0.2758398654949097
koususd,1594,956,638,7,104,100,0.6837688981364716,0.5620550993692444,0.1247552614382641,-0.13841751513941591,9,5.00836820083682,0.005008368200836823,10,8.294670846394984,0.00829467084639499,0.7928195465523454,3.797251783919824,2.2950356652360844,0.1247552614382641
ucbbeeur,814,488,326,22,113,103,0.6775580743336884,0.40061500500472436,0.19003039987814097,-0.41545385973186855,6,6.713114754098361,0.006713114754098363,0,0.7730061349693251,0.0007730061349693251,0.7880308263286863,1.2853926979587464,1.0367117621437163,0.19003039987814097
usdcnh,683,409,274,4,194,109,0.6724140534062678,0.06101721204675914,0.03716663721800839,-0.06041402116795452,3,4.312958435207824,0.004312958435207824,1,2.7591240875912413,0.002759124087591241,0.4353431209423608,1.920507986288965,1.1779255536156628,0.03716663721800839
mmmususd,548,328,220,7,161,160,0.6651167019333175,0.28671574014439916,0.21370933142016457,-0.325993615263835,2,3.841463414634146,0.0038414634146341463,1,2.290909090909091,0.002290909090909091,0.7005216805304234,1.7610722336898574,1.2307969571101405,0.21370933142016457
algnususd,607,364,243,7,185,112,0.6638681424795659,0.35436607877693116,0.23367820770208736,-0.20044833247887467,4,5.538461538461538,0.005538461538461539,2,5.185185185185185,0.005185185185185185,0.9179157307693185,0.33175243394045306,0.038670785526020324,0.23367820770208736
rrcususd,1237,742,495,10,89,100,0.6481389430340418,2.200782863658168,0.4845555392441745,-0.35725711848139075,8,5.773584905660377,0.00577358490566038,5,5.6000000000000005,0.005600000000000002,0.4259980106258929,0.8974505348286309,0.6617242727272619,0.4845555392441745
wtbgbgbx,1162,697,465,28,131,103,0.6431394263660591,0.5219996485240614,0.163997077003881,-0.2533701432102473,7,5.061692969870875,0.005061692969870878,3,3.793548387096774,0.0037935483870967742,0.8458668958999959,0.7004364005516895,0.6277211528775364,0.163997077003881
halususd,1214,728,486,31,194,139,0.6427493979536887,0.47986328778480236,0.14530949266276383,-0.21922451193058556,5,3.807692307692308,0.003807692307692309,3,3.6296296296296298,0.00362962962962963,0.8430111476866095,0.6994525988226566,0.6276733243906802,0.14530949266276383
